127.0.0.1 - - [05/Jul/2023:00:59:48 +0900] "GET / HTTP/1.1" 404 807
127.0.0.1 - - [05/Jul/2023:00:59:49 +0900] "GET /tofit/common/index.do HTTP/1.1" 200 10708
127.0.0.1 - - [05/Jul/2023:00:59:49 +0900] "GET /tofit/resources/font/Noto_Sans/NotoSans-Regular.ttf HTTP/1.1" 404 721
127.0.0.1 - - [05/Jul/2023:00:59:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [05/Jul/2023:00:59:51 +0900] "GET /tofit/member/login.do HTTP/1.1" 200 3596
127.0.0.1 - - [05/Jul/2023:00:59:51 +0900] "GET /tofit/resources/font/Noto_Sans/NotoSans-Regular.ttf HTTP/1.1" 404 721
127.0.0.1 - - [05/Jul/2023:00:59:51 +0900] "GET /tofit/member/kitlogin.do HTTP/1.1" 200 4133
127.0.0.1 - - [05/Jul/2023:00:59:51 +0900] "GET /tofit/resources/js/kitlogin.js HTTP/1.1" 404 721
127.0.0.1 - - [05/Jul/2023:00:59:51 +0900] "GET /tofit/resources/font/Noto_Sans/NotoSans-Regular.ttf HTTP/1.1" 404 721
127.0.0.1 - - [05/Jul/2023:00:59:55 +0900] "POST /tofit/member/login.do HTTP/1.1" 302 -
127.0.0.1 - - [05/Jul/2023:00:59:55 +0900] "GET /tofit/common/index.do HTTP/1.1" 200 10798
127.0.0.1 - - [05/Jul/2023:00:59:55 +0900] "GET /tofit/resources/font/Noto_Sans/NotoSans-Regular.ttf HTTP/1.1" 404 721
127.0.0.1 - - [05/Jul/2023:00:59:58 +0900] "GET /tofit/reserve/reserveInfo.do HTTP/1.1" 200 6596
127.0.0.1 - - [05/Jul/2023:00:59:59 +0900] "GET /tofit/resources/font/Noto_Sans/NotoSans-Regular.ttf HTTP/1.1" 404 721
127.0.0.1 - - [05/Jul/2023:00:59:59 +0900] "GET /tofit/resources/font/Pretendard/public/variable/PretendardVariable.ttf HTTP/1.1" 404 721
127.0.0.1 - - [05/Jul/2023:01:00:00 +0900] "GET /tofit/payment/paymentInfo.do HTTP/1.1" 200 6971
127.0.0.1 - - [05/Jul/2023:01:00:00 +0900] "GET /tofit/resources/font/Noto_Sans/NotoSans-Regular.ttf HTTP/1.1" 404 721
127.0.0.1 - - [05/Jul/2023:01:00:00 +0900] "GET /tofit/resources/font/Pretendard/public/variable/PretendardVariable.ttf HTTP/1.1" 404 721
127.0.0.1 - - [05/Jul/2023:01:00:01 +0900] "GET /tofit/payment/productPayment.do HTTP/1.1" 200 9581
127.0.0.1 - - [05/Jul/2023:01:00:01 +0900] "GET /tofit/resources/font/Pretendard/public/variable/PretendardVariable.ttf HTTP/1.1" 404 721
127.0.0.1 - - [05/Jul/2023:01:00:01 +0900] "GET /tofit/resources/font/Noto_Sans/NotoSans-Regular.ttf HTTP/1.1" 404 721
127.0.0.1 - - [05/Jul/2023:01:00:05 +0900] "GET /tofit/payment/productPayDetail.do?orNum=3 HTTP/1.1" 200 7247
