127.0.0.1 - - [15/Jun/2023:15:28:50 +0900] "GET / HTTP/1.1" 404 807
127.0.0.1 - - [15/Jun/2023:15:29:06 +0900] "GET /tofit/common/index.do HTTP/1.1" 200 10685
127.0.0.1 - - [15/Jun/2023:15:29:06 +0900] "GET /tofit/resources/images/fitnessCenter.jpg HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2023:15:29:06 +0900] "GET /tofit/resources/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2023:15:29:06 +0900] "GET /tofit/resources/images/discuss.png HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2023:15:29:06 +0900] "GET /tofit/resources/images/mypageCalendar.png HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2023:15:29:06 +0900] "GET /tofit/resources/font/Noto_Sans/NotoSans-Regular.ttf HTTP/1.1" 404 721
127.0.0.1 - - [15/Jun/2023:15:29:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [15/Jun/2023:15:29:25 +0900] "GET /tofit/member/login.do HTTP/1.1" 200 3598
127.0.0.1 - - [15/Jun/2023:15:29:25 +0900] "GET /tofit/resources/font/Noto_Sans/NotoSans-Regular.ttf HTTP/1.1" 404 721
127.0.0.1 - - [15/Jun/2023:15:29:37 +0900] "GET /tofit/center/centerMain.do HTTP/1.1" 200 18772
127.0.0.1 - - [15/Jun/2023:15:29:38 +0900] "GET /tofit/resources/font/Noto_Sans/NotoSans-Regular.ttf HTTP/1.1" 404 721
127.0.0.1 - - [15/Jun/2023:15:29:50 +0900] "GET /tofit/member/login.do HTTP/1.1" 200 3598
127.0.0.1 - - [15/Jun/2023:15:29:50 +0900] "GET /tofit/resources/font/Noto_Sans/NotoSans-Regular.ttf HTTP/1.1" 404 721
127.0.0.1 - - [15/Jun/2023:15:29:51 +0900] "GET /tofit/member/kitlogin.do HTTP/1.1" 200 4135
127.0.0.1 - - [15/Jun/2023:15:29:51 +0900] "GET /tofit/resources/js/kitlogin.js HTTP/1.1" 404 721
127.0.0.1 - - [15/Jun/2023:15:29:51 +0900] "GET /tofit/resources/css/kit.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2023:15:29:51 +0900] "GET /tofit/resources/font/Noto_Sans/NotoSans-Regular.ttf HTTP/1.1" 404 721
127.0.0.1 - - [15/Jun/2023:15:29:59 +0900] "POST /tofit/member/login.do HTTP/1.1" 302 -
